
 idBook : 140a3d7e-a417-4c2b-96fe-32f9a2732693
 TitleBook: test1
 IdStudent: 1
 FirstName: Amanda
 LastName: Lor
 DataBorrowing: 13/04/2023 21:53:12
 DataReturned:  --- 


 idBook : b4eb8f48-2bbb-46bf-b836-017f9372c463
 TitleBook: test2
 IdStudent: 2
 FirstName: Barbara
 LastName: Lonaker
 DataBorrowing: 13/04/2023 21:53:37
 DataReturned:  --- 


 idBook : ac6644b2-9da8-439d-8d43-b27418acbc1e
 TitleBook: test3
 IdStudent: 1
 FirstName: Amanda
 LastName: Lor
 DataBorrowing: 13/04/2023 21:55:19
 DataReturned:  --- 


 idBook : ac6644b2-9da8-439d-8d43-b27418acbc1e
 TitleBook: test4
 IdStudent: 4
 FirstName: Daniel
 LastName: Lor
 DataBorrowing: 13/04/2023 21:55:30
 DataReturned:  --- 

