idStudent,firstNameStudent,lastNameStudent,address,city,phoneNumber,gender,DOB
1,Kiana,Lor,24 Old County Road,Dublin,35383089634,F,3/20/1985
2,Joshua,Lonaker,77 O’Connell Street,Dún Laoghaire,35383089644,M,3/21/1985
3,Dakota,Blanco,102 Henry Street,Cork,35383089678,F,3/22/1985
4,Natasha,Yarusso,12 Parnell Street,Luimneach,3538308989,F,3/23/1985
5,Brooke,Cazares,27 Charles Stewart Parnell,Gaillimh,35383089777,F,3/24/1985
6,Rochelle,Johnson,87 James Larkin,Tallaght,35383089789,F,3/25/1985
7,Joey,Abreu,23 Grafton Street,Waterford,35489785686,M,3/26/1985
8,Preston,Suarez,68 Wellington Road,Swords,354878986,M,3/27/1985
9,Lee,Dong,24 Old County Road,Drogheda,354897854456,F,3/28/1985
10,Maa'iz,al-Dia,77 O’Connell Street,Dundalk,35489785456,M,3/29/1985
11,Maja,Nicholson,102 Henry Street,Navan,35489785412,F,3/30/1985
12,Sasha,Jansen,12 Parnell Street,Ennis,35489785687,F,3/31/1985
13,Alexander,Sherman,27 Charles Stewart Parnell,Sligo,35489785689,M,4/1/1985
14,Edgar,Sanchez,87 James Larkin,Cavan,35489785684,M,4/2/1985
15,Kolbi,Strunk,23 Grafton Street,Dublin,35489785614,M,4/3/1985
16,Brittany,Sath,68 Wellington Road,Dublin,35489785656,F,4/4/1985
17,Meggan,Smith,24 Old County Road,Dublin,35489785612,F,4/5/1985
18,Ericka,Nicholson,77 O’Connell Street,Dublin,35478785686,other,4/6/1985
19,David,Jansen,102 Henry Street,Dublin,35489785633,M,4/7/1985
20,Kyle,Sherman,12 Parnell Street,Dublin,35489785611,M,4/8/1985
21,Rojesh,Sanchez,27 Charles Stewart Parnell,Dublin,35489787786,M,4/9/1985
22,David,Weber,87 James Larkin,Dún Laoghaire,35489785623,M,4/10/1985
23,Rachel Jambor,Lor,23 Grafton Street,Cork,35489785611,F,4/11/1985
24,Mus'ab al-Moustafa,Lonaker,68 Wellington Road,Luimneach,35489785612,M,4/12/1985
25,Sila Nguyen,Blanco,24 Old County Road,Gaillimh,35489785613,M,4/13/1985
26,Samantha Hicks,Yarusso,77 O’Connell Street,Tallaght,35489785614,F,4/14/1985
27,Angela Harding,Cazares,102 Henry Street,Dún Laoghaire,35489785615,F,4/15/1985
28,Brandon Barbour,Johnson,12 Parnell Street,Tallaght,35489785616,M,4/16/1985
29,Reilly Wagar,Abreu,27 Charles Stewart Parnell,Swords,35489785617,F,4/17/1985
30,Victoria,Ibarra,87 James Larkin,Dublin,35489785611,F,4/18/1985
